name,team,kills,deaths,attacker_x,attacker_y,attacker_z,attacker_pitch,attacker_yaw,attacker_ducked,victim_x,victim_y,victim_z,victim_pitch,victim_yaw,victim_ducked,wallbang,isHeadshot,isHacker
n00bie,2,137,0,400.9665222167969,432.3036193847656,-0.46875,1.4556884765625,165.12451171875,0,0,768,-0.4687519073486328,0.296630859375,345.8441162109375,0,0,1,1
n00bie,2,137,0,400.9665222167969,432.3036193847656,-0.46875,3.6968994140625,169.6014404296875,0,0,448,-0.46875,0.230712890625,350.15625,0,0,1,1
n00bie,2,138,0,400.9665222167969,432.3036193847656,-0.46875,4.9713134765625,173.8092041015625,0,-128,448,-0.46875,0.2911376953125,354.1497802734375,0,0,1,1
n00bie,2,140,0,400.9665222167969,432.3036193847656,-0.46875,6.1083984375,175.93505859375,0,128,576,-0.4687480926513672,0.28564453125,356.81396484375,0,0,1,1
n00bie,2,140,0,400.9665222167969,432.3036193847656,-0.46875,6.3336181640625,176.8304443359375,0,-512,768,-0.4687502384185791,0.2801513671875,357.78076171875,0,0,1,1
n00bie,2,141,0,400.9665222167969,432.3036193847656,-0.46875,5.1800537109375,177.20947265625,0,-384,576,-0.46875,0.274658203125,358.2806396484375,0,0,1,1
n00bie,2,142,0,400.9665222167969,432.3036193847656,-0.46875,5.592041015625,177.2589111328125,0,256,448,-0.46875,0.2691650390625,358.5882568359375,0,0,1,1
n00bie,2,143,0,400.9665222167969,432.3036193847656,-0.46875,9.569091796875,167.882080078125,0,0,448,-0.46875,0.19775390625,345.6463623046875,0,0,1,1
n00bie,2,144,0,400.9665222167969,432.3036193847656,-0.46875,10.6072998046875,179.8516845703125,0,-128,448,-0.46875,0.24169921875,354.17724609375,0,0,1,1
n00bie,2,145,0,400.9665222167969,432.3036193847656,-0.46875,10.1239013671875,179.6209716796875,0,128,576,-0.4687480926513672,0.2362060546875,356.846923828125,0,0,1,1
n00bie,2,147,0,400.9665222167969,432.3036193847656,-0.46875,10.3546142578125,164.498291015625,0,-128,576,-0.4687519073486328,0.1812744140625,340.9881591796875,0,0,0,1
n00bie,2,148,0,400.9665222167969,432.3036193847656,-0.46875,10.5908203125,155.4071044921875,0,-256,768,-0.4687502384185791,0.1812744140625,333.9129638671875,0,0,1,1
